Last Updated (UTC),Ticker,Name,Price,Currency,Last Dividend,Last Dividend Date,Frequency,Yield (Forward) %,Remarks,Median Annualized Yield %,Mean Annualized Yield %,Std Dev %,Valuation
2025-08-09T04:23:30.294758Z,CRSH,Tidal Trust II YieldMax Short T,4.12,USD,0.195,2025-08-07,Monthly,56.796,yfinance,112.26605,114.42828125,38.15638401849628,Overpriced
2025-08-09T04:23:43.046860Z,OARK,YieldMax Innovation Option Inco,8.6,USD,0.376,2025-08-07,Monthly,52.465,yfinance,67.9633,79.36064545454545,35.77181629257952,Fair Price
2025-08-09T04:23:25.279173Z,AMZY,Tidal ETF Trust II YieldMax AMZ,15.3,USD,0.642,2025-07-31,Monthly,50.353,yfinance,65.06784999999999,61.95848333333333,17.60058479099282,Fair Price
2025-08-09T04:23:34.147725Z,FIAT,Tidal Trust II YieldMax Short C,3.35,USD,0.138,2025-07-24,Monthly,49.433,yfinance,151.4203,152.35535384615383,68.00489892786663,Overpriced
2025-08-09T04:23:51.933333Z,TSLY,Tidal ETF Trust II YieldMax TSL,7.68,USD,0.301,2025-08-07,Monthly,47.031,yfinance,174.1176,192.1560909090909,100.6716819223117,Overpriced
2025-08-09T04:23:23.358120Z,ABNY,Tidal Trust II YieldMax ABNB Op,10.2914,USD,0.375,2025-07-24,Monthly,43.726,yfinance,44.3907,55.53162307692308,20.794272495295196,Fair Price
2025-08-09T04:23:35.372566Z,GOOY,Tidal ETF Trust II YieldMax GOO,12.91,USD,0.449,2025-08-07,Monthly,41.735,yfinance,41.64,42.388180000000006,11.89164545836698,Fair Price
2025-08-09T04:23:44.449581Z,PLTY,Tidal Trust II YieldMax PLTR Op,78.03,USD,2.56,2025-07-17,Monthly,39.369,yfinance,100.97905,103.76246,37.9264204547056,Overpriced
2025-08-09T04:23:48.401478Z,SNOY,Tidal Trust II YieldMax SNOW Op,14.35,USD,0.455,2025-08-07,Monthly,38.049,yfinance,78.7267,83.60549999999999,31.905908339858136,Overpriced
2025-08-09T04:23:37.827833Z,MAXI,Simplify Bitcoin Strategy PLUS ,31.61,USD,1.0,2025-07-28,Monthly,37.963,yfinance,18.6355,39.6032,69.15423623632901,Fair Price
2025-08-09T04:23:25.919307Z,APLY,Tidal ETF Trust II YieldMax AAP,13.38,USD,0.41,2025-07-31,Monthly,36.771,yfinance,33.336,36.9523,12.486724504171496,Fair Price
2025-08-09T04:23:35.975674Z,JPMO,Tidal Trust II YieldMax JPM Opt,16.63,USD,0.508,2025-07-17,Monthly,36.657,yfinance,30.3034,32.27661739130435,10.876969057627814,Fair Price
2025-08-09T04:23:33.569580Z,FBY,Tidal ETF Trust II YieldMax MET,17.25,USD,0.499,2025-07-17,Monthly,34.713,yfinance,61.42915,65.65812083333334,27.68114508954927,Fair Price
2025-08-09T04:23:31.664442Z,DIPS,Tidal Trust II YieldMax Short N,6.43,USD,0.172,2025-07-17,Monthly,32.1,yfinance,68.81085,68.72974166666667,22.03138533243627,Overpriced
2025-08-09T04:23:41.780512Z,NFLY,Tidal ETF Trust II YieldMax NFL,17.29,USD,0.435,2025-07-24,Monthly,30.191,yfinance,70.29945000000001,75.36704166666667,32.92448884528666,Overpriced
2025-08-09T04:23:26.559494Z,BABO,Tidal Trust II YieldMax BABA Op,15.5,USD,0.382,2025-07-17,Monthly,29.574,yfinance,60.58515,64.33995833333333,29.50712504027885,Overpriced
2025-08-09T04:23:45.061779Z,PYPY,Tidal Trust II YieldMax PYPL Op,11.34,USD,0.273,2025-07-24,Monthly,28.889,yfinance,56.523,65.46735,31.62017559330104,Fair Price
2025-08-09T04:23:39.871367Z,MSFO,Tidal ETF Trust II YieldMax MSF,18.16,USD,0.414,2025-07-24,Monthly,27.357,yfinance,35.763,39.48680869565217,12.450321719571347,Fair Price
2025-08-09T04:23:34.708396Z,GDXY,Tidal Trust II YieldMax Gold Mi,15.65,USD,0.332,2025-07-17,Monthly,25.457,yfinance,56.80745,52.194742857142856,14.667870299541644,Overpriced
2025-08-09T04:23:32.314026Z,DISO,Tidal ETF Trust II YieldMax DIS,13.06,USD,0.274,2025-07-31,Monthly,25.176,yfinance,42.9861,45.20453043478261,14.897110411035326,Overpriced
2025-08-09T04:23:36.576484Z,KLIP,KRANESHARES KWEB COVERED CALL S,32.2928,USD,0.653,2025-07-30,Monthly,24.265,yfinance,79.9034,94.722396875,101.1345357453656,Fair Price
2025-08-09T04:23:56.164418Z,XOMO,Tidal ETF Trust II YieldMax XOM,11.71,USD,0.229,2025-08-07,Monthly,23.467,yfinance,29.26365,29.840958333333333,7.052271341293661,Fair Price
2025-08-09T04:23:49.605634Z,SPYT,Tidal Trust II Defiance S&P 500,18.035,USD,0.32,2025-08-01,Monthly,21.292,yfinance,23.1724,23.595029411764703,1.8020986681383115,Overpriced
2025-08-09T04:23:57.409206Z,XPAY,Roundhill ETF Trust Roundhill S,53.8558,USD,0.953,2025-08-06,Monthly,21.234,yfinance,22.9066,23.05335,1.1269565655141975,Overpriced
2025-08-09T04:23:46.487819Z,QQQT,Defiance Nasdaq 100 Income Targ,18.0538,USD,0.319,2025-08-01,Monthly,21.203,yfinance,22.9214,23.046492307692308,1.4202850326968062,Overpriced
2025-08-09T04:23:50.721160Z,SVOL,Simplify Volatility Premium ETF,17.03,USD,0.3,2025-07-28,Monthly,21.139,yfinance,21.67815,22.83715434782609,4.937456584999862,Fair Price
2025-08-09T04:23:53.147143Z,ULTY,Tidal Trust II YieldMax Ultra O,6.03,USD,0.1,2025-08-07,Monthly,19.9,yfinance,108.2482,151.84598571428572,94.99046756329614,Fair Price
2025-08-09T04:23:53.697439Z,USOY,Defiance Oil Enhanced Options I,8.475,USD,0.134,2025-08-07,Monthly,18.973,yfinance,106.1115,112.06391428571428,39.0924253818855,Overpriced
2025-08-09T04:24:01.360972Z,YQQQ,YieldMax Short N100 Option Inco,13.535,USD,0.179,2025-07-31,Monthly,15.87,yfinance,27.26415,26.77135,6.32355511854469,Overpriced
2025-08-09T04:23:41.169304Z,NERD,Roundhill Video Games ETF,27.1294,USD,0.343,2024-12-30,Monthly,15.172,yfinance,1.0933,0.98914,0.5221584175324573,Underpriced
2025-08-09T04:24:00.730408Z,YMAX,Tidal Trust II YieldMax Univers,13.14,USD,0.145,2025-08-07,Monthly,13.242,yfinance,72.36789999999999,76.37316851851853,19.49971279347104,Overpriced
2025-08-09T04:23:58.714028Z,YBTC,Roundhill ETF Trust Roundhill B,48.05,USD,0.506,2025-08-06,Monthly,12.637,yfinance,52.6535,61.53536818181818,36.90183476456858,Overpriced
2025-08-09T04:23:51.322484Z,TLTW,iShares Trust iShares 20+ Year ,22.75,USD,0.231,2025-08-04,Monthly,12.185,yfinance,17.8643,22.995397222222223,12.597254875283314,Fair Price
2025-08-09T04:23:48.973764Z,SOXY,Tidal Trust II YieldMax Target ,52.4402,USD,0.525,2025-08-06,Monthly,12.014,yfinance,12.38935,12.5484875,0.5110587342189047,Fair Price
2025-08-09T04:23:27.869050Z,BIGY,Tidal Trust II YieldMax Target ,50.5487,USD,0.505,2025-08-06,Monthly,11.988,yfinance,12.51005,12.57395,0.4230682282023611,Overpriced
2025-08-09T04:23:59.360563Z,YETH,Roundhill ETF Trust Roundhill E,27.64,USD,0.239,2025-08-06,Monthly,10.376,yfinance,78.3284,100.15932666666666,74.03808430913362,Fair Price
2025-08-09T04:23:32.892336Z,DRAG,Roundhill ETF Trust Roundhill C,25.2742,USD,0.218,2024-12-30,Monthly,10.35,yfinance,12.3222,12.3222,,Unknown
2025-08-09T04:23:37.144237Z,MAGX,Roundhill Daily 2X Long Magnifi,48.99,USD,0.396,2024-12-30,Monthly,9.7,yfinance,9.9644,9.9644,,Unknown
2025-08-09T04:23:47.142637Z,QQQY,Defiance Nasdaq 100 Target 30 I,25.84,USD,0.192,2025-08-07,Monthly,8.916,yfinance,56.3261,76.69613157894737,62.87312640492803,Fair Price
2025-08-09T04:23:27.294068Z,BETZ,Roundhill Sports Betting & iGam,23.78,USD,0.162,2024-12-30,Monthly,8.175,yfinance,0.6056,0.5795333333333333,0.2914754935381932,Underpriced
2025-08-09T04:23:45.723764Z,QDTE,Roundhill Innovation-100 0DTE C,35.515,USD,0.239,2025-08-07,Monthly,8.075,yfinance,39.7832,47.23571111111111,21.646793001297016,Overpriced
2025-08-09T04:23:54.307947Z,WDTE,Defiance S&P 500 Enhanced Optio,34.0504,USD,0.203,2025-08-07,Monthly,7.154,yfinance,37.7281,51.843621818181816,40.382666653742575,Fair Price
2025-08-09T04:23:55.562425Z,XDTE,Roundhill ETF Trust Roundhill S,44.0,USD,0.257,2025-08-07,Monthly,7.009,yfinance,30.33525,32.494927777777775,12.049184577544017,Overpriced
2025-08-09T04:24:00.061913Z,YMAG,Tidal Trust II YieldMax Magnifi,15.59,USD,0.08,2025-08-07,Monthly,6.158,yfinance,60.21715,57.70717962962963,23.769321521455588,Overpriced
2025-08-09T04:23:43.609686Z,OZEM,Roundhill GLP-1 & Weight Loss E,23.82,USD,0.053,2024-12-30,Monthly,2.67,yfinance,2.6227,2.6227,,Unknown
2025-08-09T04:23:38.503361Z,METV,Roundhill Ball Metaverse ETF,18.45,USD,0.019,2023-12-27,Monthly,1.236,yfinance,0.1206,0.1206,0.0620839753881788,Underpriced
2025-08-09T04:23:31.027374Z,DEEP,Acquirers Small and Micro Deep ,33.4938,USD,0.021,2025-06-26,Monthly,0.752,yfinance,1.8868,2.7206560975609757,3.037875771739916,Fair Price
2025-08-09T04:23:29.116833Z,CHAT,Roundhill Generative AI & Techn,53.8,USD,,,,,,,,,Unknown
2025-08-09T04:23:50.027946Z,SQY,Tidal Trust II YieldMax SQ Opti,10.49,USD,0.5014,2025-03-13,,,dividendhistory.org,86.1906,112.68466470588234,63.61504872499648,Unknown
2025-08-09T04:23:54.903971Z,WEED,Listed Funds Trust Roundhill Ca,16.0794,USD,,,,,,,,,Unknown
