Last Updated (UTC),Ticker,Name,Price,Currency,Last Dividend,Last Dividend Date,Frequency,Current Yield (%),Median Annualized Yield %,Mean Annualized Yield %,Std Dev %,Valuation
2026-07-01T15:40:51.600926Z,AMDY,Yieldmax AMD Option Income Stra,56.46,USD,0.882,2026-06-25,Monthly,18.746,65.34825000000001,61.776318181818176,20.1463841899291,Overpriced
2026-07-01T15:40:50.996671Z,AIYY,YieldMax AI Option Income Strat,8.53,USD,0.133,2026-06-25,Monthly,18.71,63.84145,69.56123,25.017396720537025,Overpriced
2026-07-01T15:41:13.185725Z,SMCY,YieldMax SMCI Option Income Str,4.85,USD,0.071,2026-06-25,Monthly,17.567,100.8086,102.03595454545456,9.852906511417194,Overpriced
2026-07-01T15:41:06.162582Z,MSTY,YieldMax MSTR Option Income Str,13.37,USD,0.188,2026-06-25,Monthly,16.874,107.5843,109.91544705882352,28.426087382238293,Overpriced
2026-07-01T15:41:18.052045Z,ULTY,YieldMax Ultra Option Income St,29.175,USD,0.382,2026-06-24,Monthly,15.712,83.541,94.22930857142858,46.78835159109564,Overpriced
2026-07-01T15:40:56.095018Z,CONY,YieldMax COIN Option Income Str,20.3901,USD,0.26,2026-06-25,Monthly,15.302,98.415,98.5807956521739,25.58345048413273,Overpriced
2026-07-01T15:41:09.488757Z,OZEM,Roundhill GLP-1 & Weight Loss E,32.64,USD,0.41,2025-12-30,Monthly,15.074,2.6227,2.6227,,Unknown
2026-07-01T15:41:17.422749Z,TSMY,YieldMax TSM Option Income Stra,17.0434,USD,0.209,2026-06-25,Monthly,14.715,48.98235,49.05250833333333,14.25705496246162,Overpriced
2026-07-01T15:40:56.752488Z,CRSH,YieldMax Short TSLA Option Inco,19.38,USD,0.227,2026-06-25,Monthly,14.056,69.76095000000001,71.56735,16.161319455993272,Overpriced
2026-07-01T15:40:54.442448Z,BIGY,YieldMax Target 12 Big 50 Optio,52.4662,USD,0.54,2026-06-03,Monthly,12.351,12.06735,12.133375,0.1886465231969189,Underpriced
2026-07-01T15:41:23.215814Z,YETH,Roundhill Ether Covered Call St,8.0,USD,0.08,2026-06-24,Monthly,12.0,67.204,82.04157142857142,73.43158080046014,Fair Price
2026-07-01T15:41:18.605180Z,USOY,Defiance Oil Enhanced Options I,6.475,USD,0.064,2026-06-25,Monthly,11.861,77.7143,81.3742761904762,33.38373904456937,Overpriced
2026-07-01T15:41:16.327368Z,TLTW,iShares 20+ Year Treasury Bond ,22.255,USD,0.217,2026-06-02,Monthly,11.701,14.81505,17.986583333333332,9.26189844854406,Fair Price
2026-07-01T15:41:24.407868Z,YMAX,YieldMax Universe Fund of Optio,8.02,USD,0.076,2026-06-24,Monthly,11.372,56.1155,56.207231481481486,14.122067193083716,Overpriced
2026-07-01T15:41:03.771432Z,MAXI,Simplify Bitcoin Strategy PLUS ,8.545,USD,0.08,2026-06-25,Monthly,11.235,10.9823,27.96076363636364,47.23177815163099,Fair Price
2026-07-01T15:41:14.229307Z,SOXY,YieldMax Target 12 Semiconducto,109.5,USD,1.021,2026-06-03,Monthly,11.189,12.032699999999998,12.1084875,0.3426929172534999,Overpriced
2026-07-01T15:41:16.873077Z,TSLY,YieldMax TSLA Option Income Str,29.1601,USD,0.267,2026-06-25,Monthly,10.988,63.9281,69.10182121212121,18.381336685187605,Overpriced
2026-07-01T15:40:53.381901Z,BABO,YieldMax BABA Option Income Str,7.5131,USD,0.066,2026-06-25,Monthly,10.542,46.21665,50.931525,23.021739518595144,Overpriced
2026-07-01T15:41:10.131332Z,PLTY,YieldMax PLTR Option Income Str,30.4,USD,0.261,2026-06-25,Monthly,10.303,61.10695,77.45179,32.3856392535831,Overpriced
2026-07-01T15:41:08.322522Z,NVDY,YieldMax NVDA Option Income Str,12.339,USD,0.101,2026-06-25,Monthly,9.823,55.8107,65.35128148148148,29.810138667535927,Overpriced
2026-07-01T15:40:57.905517Z,DIPS,YieldMax Short NVDA Option Inco,40.62,USD,0.33,2026-06-25,Monthly,9.749,54.9042,53.51294166666667,10.95304249972734,Overpriced
2026-07-01T15:41:22.035306Z,YBIT,YieldMax Bitcoin Option Income ,18.5485,USD,0.144,2026-06-25,Monthly,9.316,67.38755,69.77123125,20.375085830910216,Overpriced
2026-07-01T15:41:11.405642Z,QDTE,Roundhill Innovation-100 0DTE C,30.605,USD,0.236,2026-06-25,Monthly,9.253,34.0959,36.513133333333336,15.579303692118836,Overpriced
2026-07-01T15:41:00.578464Z,GDXY,YieldMax Gold Miners Option Inc,10.255,USD,0.077,2026-06-25,Monthly,9.01,40.84625,41.51029285714286,11.64933181467532,Overpriced
2026-07-01T15:41:06.969864Z,NERD,Roundhill Video Games ETF,20.5701,USD,0.152,2025-12-30,Monthly,8.867,1.06985,1.135875,0.434844488486018,Underpriced
2026-07-01T15:41:08.924240Z,OARK,YieldMax Innovation Option Inco,31.8,USD,0.233,2026-06-25,Monthly,8.792,42.9698,42.94445151515151,10.80134396311176,Overpriced
2026-07-01T15:41:23.766500Z,YMAG,YieldMax Magnificent 7 Fund of ,11.6601,USD,0.081,2026-06-24,Monthly,8.336,43.2133,45.13959259259259,19.125345126197608,Overpriced
2026-07-01T15:41:20.383022Z,XDTE,Roundhill S&P 500 0DTE Covered ,38.88,USD,0.265,2026-06-25,Monthly,8.179,25.62685,26.91553194444445,10.007454136775715,Overpriced
2026-07-01T15:41:20.924098Z,XOMO,YieldMax XOM Option Income Stra,10.5,USD,0.071,2026-06-25,Monthly,8.114,23.2131,23.632045833333333,6.788939529211189,Overpriced
2026-07-01T15:41:07.588897Z,NFLY,YieldMax NFLX Option Income Str,8.04,USD,0.052,2026-06-25,Monthly,7.761,45.25195,46.99292500000001,15.320134062991858,Overpriced
2026-07-01T15:40:50.383405Z,ABNY,YieldMax ABNB Option Income Str,39.355,USD,0.2492,2026-06-11,Monthly,7.599,38.4629,44.39703846153846,13.001125720973704,Overpriced
2026-07-01T15:41:22.677601Z,YBTC,Roundhill Bitcoin Covered Call ,16.795,USD,0.104,2026-06-24,Monthly,7.431,41.6485,47.81215581395349,26.463418871045928,Overpriced
2026-07-01T15:40:52.223995Z,AMZY,YieldMax AMZN Option Income Str,10.77,USD,0.065,2026-06-25,Monthly,7.242,39.2549,41.05435,12.59991030226872,Overpriced
2026-07-01T15:41:02.085927Z,JPMO,YieldMax JPM Option Income Stra,14.34,USD,0.084,2026-06-25,Monthly,7.029,24.4615,25.429704347826085,9.232581464843957,Overpriced
2026-07-01T15:41:19.268134Z,WDTE,Defiance S&P 500 Weekly Distrib,30.05,USD,0.171,2026-06-25,Monthly,6.829,31.6364,39.65455818181818,27.90972992817361,Fair Price
2026-07-01T15:41:01.113917Z,GOOY,YieldMax GOOGL Option Income St,13.375,USD,0.076,2026-06-25,Monthly,6.819,30.1399,30.842668,9.49267005289344,Overpriced
2026-07-01T15:41:12.538689Z,QQQY,Defiance Nasdaq 100 Weekly Dist,23.9498,USD,0.136,2026-06-25,Monthly,6.814,40.9716,52.56178421052632,37.04223192606741,Fair Price
2026-07-01T15:40:59.481396Z,FBY,YieldMax META Option Income Str,9.72,USD,0.053,2026-06-25,Monthly,6.543,41.4236,42.69327916666666,13.244563954644848,Overpriced
2026-07-01T15:41:05.558231Z,MSFO,YieldMax MSFT Option Income Str,10.7,USD,0.056,2026-06-25,Monthly,6.28,27.8163,29.74566086956522,7.324175781971469,Overpriced
2026-07-01T15:40:57.360690Z,DEEP,Acquirers Small and Micro Deep ,42.46,USD,0.222,2026-06-26,Monthly,6.274,1.28745,1.57774,1.471665478436269,Underpriced
2026-07-01T15:40:58.408553Z,DISO,YieldMax DIS Option Income Stra,9.455,USD,0.0475,2026-06-11,Monthly,6.029,33.7169,33.07030869565217,9.732343388176124,Overpriced
2026-07-01T15:41:10.859097Z,PYPY,YieldMax PYPL Option Income Str,25.7099,USD,0.129,2026-06-25,Monthly,6.021,38.6878,44.078922727272726,19.878604931599245,Overpriced
2026-07-01T15:41:24.996761Z,YQQQ,YieldMax Short N100 Option Inco,9.85,USD,0.048,2026-06-25,Monthly,5.848,22.5677,23.959716666666665,5.533777812642732,Overpriced
2026-07-01T15:40:52.786238Z,APLY,YieldMax AAPL Option Income Str,11.745,USD,0.046,2026-06-25,Monthly,4.7,27.8301,27.2688,9.673364495593836,Overpriced
2026-07-01T15:41:01.623374Z,JEPY,Tidal Trust II Defiance S&P 500,44.01,USD,0.1714,2026-06-25,Monthly,4.673,,,,Unknown
2026-07-01T15:41:04.326925Z,METV,Roundhill Ball Metaverse ETF,18.68,USD,0.034,2025-12-30,Monthly,2.184,0.1205,0.1205,0.0622253967444161,Underpriced
2026-07-01T15:40:55.052105Z,BITO,ProShares Bitcoin ETF,8.1637,USD,0.014,2026-06-01,Monthly,2.058,44.8433,44.1028,28.080960251114394,Overpriced
2026-07-01T15:41:19.806568Z,WEED,Roundhill Cannabis ETF,21.57,USD,,,Unknown,,,,,Unknown
